IDX,LABEL,SHORT Q,LONG Q_ENG,LONG Q_FRA,LONG Q_ITA,UNITS,SCALE,MINVAL,MAXVAL,REALIZATION,QUEST_TYPE,IDXMIN,IDXMAX,SUM50,PARENT,IMAGE
7,7,"Next eruption, andesitic magma, Violent Strombolian eruption","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that at Cotopaxi, in case that the next eruption would involve totally or predominantly andesitic magma, the eruption would be similar to the ones in the XIX century (Violent Strombolian, VEI 2-3)?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité qu'au Cotopaxi, en cas où le magma impliqué pour la prochaine éruption soit entièrement ou principalement andésitique, l'éruption soit similaire à celles du XIX siècle (Stromboliennes Violentes, VEI 2-3)?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che al Cotopaxi, nel caso la prossima eruzione coinvolga interamente o predominantemente magma andesitico, l’eruzione sia simile a quelle del XIX secolo (Stromboliane Violente, VEI 2-3)?",%,uni,0,100,,target,6,10,100.0,2,
8,8,"Next eruption, andesitic magma, SubPlinian eruption","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that at Cotopaxi, in case that the next eruption would involve totally or predominantly andesitic magma, the eruption would be similar to the AD 1877 one (SubPlinian, VEI 3-4)?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité qu'au Cotopaxi, en cas où le magma impliqué pour la prochaine éruption soit entièrement ou principalement andésitique, l'éruption soit similaire à celle de 1877 (sub-plinienne, VEI 3-4)?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che al Cotopaxi, nel caso la prossima eruzione coinvolga interamente o predominantemente magma andesitico, l’eruzione sia simile a quella del 1877 (SubPliniana, VEI 3-4)?",%,uni,0,100,,target,6,10,100.0,2,
9,9,"Next eruption, andesitic magma, Plinian eruption","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that at Cotopaxi, in case that the next eruption would involve totally or predominantly andesitic magma, the eruption would be similar to the Layers 3/5 ones (Plinian, VEI 4-5)?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité qu'au Cotopaxi, en cas où le magma impliqué pour la prochaine éruption soit entièrement ou principalement andésitique, l'éruption soit similaire à celles du Layers 3/5 (Pliniennes, VEI 4-5)?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che al Cotopaxi, nel caso la prossima eruzione coinvolga interamente o predominantemente magma andesitico, l’eruzione sia simile a quelle dei Layers 3/5 (Pliniane, VEI 4-5)?",%,uni,0,100,,target,6,10,100.0,2,
10,10,"Next eruption, andesitic magma, other eruption type","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that at Cotopaxi, in case that the next eruption would involve totally or predominantly andesitic magma, the eruption would be of different type with respect to the previous ones?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité qu'au Cotopaxi, en cas où le magma impliqué pour la prochaine éruption soit entièrement ou principalement andésitique, l'éruption soit d'une typologie différent des précédentes?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che al Cotopaxi, nel caso la prossima eruzione coinvolga interamente o predominantemente magma andesitico, l’eruzione sia di una tipologia differente rispetto alle precedenti?",%,uni,0,100,,target,6,10,100.0,2,
11,11,"Next 100 years, rhyolitic magma","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that, for the next 100 years at Cotopaxi, there will be at least 1 eruption involving magma totally or predominantly of rhyolitic composition?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité que, pour les 100 prochaines années au Cotopaxi, il y ait au moins 1 éruption impliquant du magma entièrement ou principalement rhyolitique?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che, per i prossimi 100 anni al Cotopaxi, ci sia almeno 1 eruzione che coinvolga magma totalmente o predominantemente di composizione riolitica?",%,uni,0,100,,target,0,0,0,-1,next100_rhyo&and.png
12,12,"Next 100 years, andesitic magma","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that, for the next 100 years at Cotopaxi, there will be at least 1 eruption involving magma totally or predominantly of andesitic composition?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité que, pour les 100 prochaines années au Cotopaxi, il y ait au moins 1 éruption impliquant du magma entièrement ou principalement andésitique?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che, per i prossimi 100 anni al Cotopaxi, ci sia almeno 1 eruzione che coinvolga magma totalmente o predominantemente di composizione andesitica?",%,uni,0,100,,target,0,0,0,-1,
13,13,"Next 100 years, rhyolitic magma, SubPlinian eruption","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that, for the next 100 years at Cotopaxi, in case totally or predominantly rhyolitic magma would be involved, there will be at least 1 SubPlinian eruption (VEI 3-4)?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité que, pour les 100 prochaines années au Cotopaxi, en cas ou le magma impliqué soit entièrement ou principalement rhyolitique, il y ait au moins 1 éruption sub-Plinienne (VEI 3-4)?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che, per i prossimi 100 anni al Cotopaxi, in caso sia coinvolto magma totalmente o predominantemente riolitico ci sia almeno 1 eruzione SubPliniana (VEI 3-4)?",%,uni,0,100,,target,0,0,0,11,next100_rhyo_types.png
14,14,"Next 100 years, rhyolitic magma, Plinian eruption","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that, for the next 100 years at Cotopaxi, in case totally or predominantly rhyolitic magma would be involved, there will be at least 1 eruption similar to the F-2/F-4 ones (Plinian, VEI 4-5)?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité que, pour les 100 prochaines années au Cotopaxi, en cas ou le magma impliqué soit entièrement ou principalement rhyolitique, il y ait au moins 1 éruption similaire à celles F-2/F-4 (Pliniennes, VEI 4-5)?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che, per i prossimi 100 anni al Cotopaxi, in caso sia coinvolto magma totalmente o predominantemente riolitico ci sia almeno 1 eruzione simile alle F-2/F-4 (Pliniane, VEI 4-5)?",%,uni,0,100,,target,0,0,0,11,
15,15,"Next 100 years, rhyolitic magma, other eruption type","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that, for the next 100 years at Cotopaxi, in case totally or predominantly rhyolitic magma would be involved, there will be at least 1 eruption of different type with respect to the previous ones?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité que, pour les 100 prochaines années au Cotopaxi, en cas ou le magma impliqué soit entièrement ou principalement rhyolitique, il y ait au moins 1 éruption d'une typologie différent des précédentes?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che, per i prossimi 100 anni al Cotopaxi, in caso sia coinvolto magma totalmente o predominantemente riolitico ci sia almeno 1 eruzione di una tipologia differente rispetto alle precedenti?",%,uni,0,100,,target,0,0,0,11,
16,16,"Next 100 years, andesitic magma, Hydrovolcanic/Continuos ash emission eruption","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that, for the next 100 years at Cotopaxi, in case totally or predominantly andesitic magma would be involved, there will be at least 1 eruption similar to the AD 2015 one (Hydrovolcanic to long-lasting ash emission, VEI 1-2)?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité que, pour les 100 prochaines années au Cotopaxi, en cas ou le magma impliqué soit entièrement ou principalement andésitique, il y ait au moins 1 éruption similaire à celle de 2015 (Hydrovolcanique/émission de cendres de longue durée, VEI 1-2)?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che, per i prossimi 100 anni al Cotopaxi, in caso sia coinvolto magma totalmente o predominantemente andesitico ci sia almeno 1 eruzione simile a quella del 2015 (Idrovulcanica/emissione di cenere di lunga durata, VEI 1-2)?",%,uni,0,100,,target,0,0,0,12,next100_and_types.png
17,17,"Next 100 years, andesitic magma, Violent Strombolian eruption","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that, for the next 100 years at Cotopaxi, in case totally or predominantly andesitic magma would be involved, there will be at least 1 eruption similar to the ones in the XIX century (Violent Strombolian, VEI 2-3)?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité que, pour les 100 prochaines années au Cotopaxi, en cas ou le magma impliqué soit entièrement ou principalement andésitique, il y ait au moins 1 éruption similaire à celles de XIX siècle (Stromboliennes Violentes, VEI 2-3)?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che, per i prossimi 100 anni al Cotopaxi, in caso sia coinvolto magma totalmente o predominantemente andesitico ci sia almeno 1 eruzione simile a quelle del XIX secolo (Stromboliane Violente, VEI 2-3)?",%,uni,0,100,,target,0,0,0,12,
18,18,"Next 100 years, andesitic magma, SubPlinian eruption","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that, for the next 100 years at Cotopaxi, in case totally or predominantly andesitic magma would be involved, there will be at least 1 eruption similar to the AD 1877 one (SubPlinian, VEI 3-4)?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité que, pour les 100 prochaines années au Cotopaxi, en cas ou le magma impliqué soit entièrement ou principalement andésitique, il y ait au moins 1 éruption similaire à celle de 1877 (sub-Plinienne, VEI 3-4)?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che, per i prossimi 100 anni al Cotopaxi, in caso sia coinvolto magma totalmente o predominantemente andesitico ci sia almeno 1 eruzione simile a quella del 1877 (SubPliniana, VEI 3-4)?",%,uni,0,100,,target,0,0,0,12,
19,19,"Next 100 years, andesitic magma, Plinian eruption","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that, for the next 100 years at Cotopaxi, in case totally or predominantly andesitic magma would be involved, there will be at least 1 eruption similar to the Layers 3/5 ones (Plinian, VEI 4-5)?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité que, pour les 100 prochaines années au Cotopaxi, en cas ou le magma impliqué soit entièrement ou principalement andésitique, il y ait au moins 1 éruption similaire à celles Layers3/5 (Pliniennes, VEI 4-5)?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che, per i prossimi 100 anni al Cotopaxi, in caso sia coinvolto magma totalmente o predominantemente andesitico ci sia almeno 1 eruzione simile a quelle dei Layers 3/5 (Pliniane, VEI 4-5)?",%,uni,0,100,,target,0,0,0,12,
20,20,"Next 100 years, andesitic magma, other eruption type","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that, for the next 100 years at Cotopaxi, in case totally or predominantly andesitic magma would be involved, there will be at least 1 eruption of different type with respect to the previous ones?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité que, pour les 100 prochaines années au Cotopaxi, en cas ou le magma impliqué soit entièrement ou principalement andésitique, il y ait au moins 1 éruption d'une typologie différent des précédentes?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che, per i prossimi 100 anni al Cotopaxi, in caso sia coinvolto magma totalmente o predominantemente andesitico ci sia almeno 1 eruzione di una tipologia differente rispetto alle precedenti?",%,uni,0,100,,target,0,0,0,12,
21,21,"SubPlinian rhyolitic, duration",SubPlinian eruptions – rhyolitic magma: what is the mean duration of this kind of eruption?,Éruptions Sub-pliniennes – magma rhyolitique: quelle est la durée moyenne de ce typologie d'éruption?,Eruzioni subpliniane – magma riolitco: qual è la durata media di questa tipologia di eruzioni?,minutes,log,0,inf,,target,0,0,0,-1,
22,22,"SubPlinian rhyolitic, total mass fallout",SubPlinian eruptions – rhyolitic magma: what is the total amount of mass of the tephra fallout deposits associated to this kind of eruption?,Éruptions Sub-pliniennes – magma rhyolitique: quelle est la masse totale des dépôts de retombées de cendres associés à ce typologie d'éruption?,Eruzioni subpliniane – magma riolitco: qual è la massa totale dei depositi di ricaduta cenere associati a questa tipologia di eruzioni?,kg,log,0,inf,,target,0,0,0,-1,
23,23,"SubPlinian rhyolitic, average plume height",SubPlinian eruptions – rhyolitic magma: what is the average plume height of this kind of eruption?,Éruptions Sub-pliniennes – magma rhyolitique: quelle est la hauteur moyenne du panache de ce typologie d'éruption?,Eruzioni subpliniane – magma riolitco: qual è l’altezza media del plume di questa tipologia di eruzioni?,m,log,0,inf,,target,0,0,0,-1,
24,24,"Plinian rhyolitic, duration",Plinian eruptions – rhyolitic magma: what is the mean duration of this kind of eruption?,Éruptions Pliniennes – magma rhyolitique: quelle est la durée moyenne de ce typologie d'éruption?,Eruzioni pliniane – magma riolitco: qual è la durata media di questa tipologia di eruzioni?,minutes,log,0,inf,,target,0,0,0,-1,
25,25,"Plinian rhyolitic, total mass fallout",Plinian eruptions – rhyolitic magma: what is the total amount of mass of the tephra fallout deposits associated to this kind of eruption?,Éruptions Pliniennes – magma rhyolitique: quelle est la masse totale des dépôts de retombées de cendres associés à ce typologie d'éruption?,Eruzioni pliniane – magma riolitco: qual è la massa totale dei depositi di ricaduta cenere associati a questa tipologia di eruzioni?,kg,log,0,inf,,target,0,0,0,-1,
26,26,"Plinian rhyolitic, average plume height",Plinian eruptions – rhyolitic magma: what is the average plume height of this kind of eruption?,Éruptions Pliniennes – magma rhyolitique: quelle est la hauteur moyenne du panache de ce typologie d'éruption?,Eruzioni pliniane – magma riolitco: qual è l’altezza media del plume di questa tipologia di eruzioni?,m,log,0,inf,,target,0,0,0,-1,
27,27,"Hydrovolcanic/Continuos ash emission andesitic, duration",Hydrovolcanic to long-lasting ash emission eruptions – andesitic magma: what is the mean duration of this kind of eruption?,Éruptions Hydrovolcaniques/émission de cendres de longue durée – magma andésitique: quelle est la durée moyenne de ce typologie d'éruption?,Eruzioni Idrovulcaniche/emissioni continue di cenere – magma andesitico: qual è la durata media di questa tipologia di eruzioni?,minutes,log,0,inf,,target,0,0,0,-1,
28,28,"Hydrovolcanic/Continuos ash emission andesitic, total mass fallout",Hydrovolcanic to long-lasting ash emission eruptions – andesitic magma: what is the total amount of mass of the tephra fallout deposits associated to this kind of eruption?,Éruptions Hydrovolcaniques /émission de cendres de longue durée – magma andésitique: quelle est la masse totale des dépôts de retombées de cendres associés à ce typologie d'éruption?,Eruzioni Idrovulcaniche/emissioni continue di cenere – magma andesitico: qual è la massa totale dei depositi di ricaduta cenere associati a questa tipologia di eruzioni?,kg,log,0,inf,,target,0,0,0,-1,
29,29,"Hydrovolcanic/Continuos ash emission andesitic, average plume height",Hydrovolcanic to long-lasting ash emission eruptions – andesitic magma: what is the average plume height of this kind of eruption?,Éruptions Hydrovolcaniques /émission de cendres de longue durée – magma andésitique: quelle est la hauteur moyenne du panache de ce typologie d'éruption?,Eruzioni Idrovulcaniche/emissioni continue di cenere – magma andesitico: qual è l’altezza media del plume di questa tipologia di eruzioni?,m,log,0,inf,,target,0,0,0,-1,
30,30,"Violent Strombolian andesitic, duration",Violent Strombolian eruptions – andesitic magma: what is the mean duration of this kind of eruption?,Éruptions Stromboliennes Violentes – magma andésitique: quelle est la durée moyenne de ce typologie d'éruption?,Eruzioni Stromboliane Violente – magma andesitico: qual è la durata media di questa tipologia di eruzioni?,minutes,log,0,inf,,target,0,0,0,-1,
31,31,"Violent Strombolian andesitic, total mass fallout",Violent Strombolian eruptions – andesitic magma: what is the total amount of mass of the tephra fallout deposits associated to this kind of eruption?,Éruptions Stromboliennes Violentes – magma andésitique: quelle est la masse totale des dépôts de retombées de cendres associés à ce typologie d'éruption?,Eruzioni Stromboliane Violente – magma andesitico: qual è la massa totale dei depositi di ricaduta cenere associati a questa tipologia di eruzioni?,kg,log,0,inf,,target,0,0,0,-1,
32,32,"Violent Strombolian andesitic, average plume height",Violent Strombolian eruptions – andesitic magma: what is the average plume height of this kind of eruption?,Éruptions Stromboliennes Violentes – magma andésitique: quelle est la hauteur moyenne du panache de ce typologie d'éruption?,Eruzioni Stromboliane Violente – magma andesitico: qual è l’altezza media del plume di questa tipologia di eruzioni?,m,log,0,inf,,target,0,0,0,-1,
33,33,"SubPlinian andesitic, duration",Subplinian eruptions – andesitic magma: what is the mean duration of this kind of eruption?,Éruptions Sub-pliniennes – magma andésitique: quelle est la durée moyenne de ce typologie d'éruption?,Eruzioni Subpliniane – magma andesitico: qual è la durata media di questa tipologia di eruzioni?,minutes,log,0,inf,,target,0,0,0,-1,
34,34,"SubPlinian andesitic, total mass fallout",Subplinian eruptions – andesitic magma: what is the total amount of mass of the tephra fallout deposits associated to this kind of eruption?,Éruptions Sub-pliniennes – magma andésitique: quelle est la masse totale des dépôts de retombées de cendres associés à ce typologie d'éruption?,Eruzioni Subpliniane – magma andesitico: qual è la massa totale dei depositi di ricaduta cenere associati a questa tipologia di eruzioni?,kg,log,0,inf,,target,0,0,0,-1,
35,35,"SubPlinian andesitic, average plume height",Subplinian eruptions – andesitic magma: what is the average plume height of this kind of eruption?,Éruptions Sub-pliniennes – magma andésitique: quelle est la hauteur moyenne du panache de ce typologie d'éruption?,Eruzioni Subpliniane – magma andesitico: qual è l’altezza media del plume di questa tipologia di eruzioni?,m,log,0,inf,,target,0,0,0,-1,
36,36,"Plinian andesitic, duration",Plinian eruptions – andesitic magma: what is the mean duration of this kind of eruption?,Éruptions Pliniennes – magma andésitique: quelle est la durée moyenne de ce typologie d'éruption?,Eruzioni Pliniane – magma andesitico: qual è la durata media di questa tipologia di eruzioni?,minutes,log,0,inf,,target,0,0,0,-1,
37,37,"Plinian andesitic, total mass fallout",Plinian eruptions – andesitic magma: what is the total amount of mass of the tephra fallout deposits associated to this kind of eruption?,Éruptions Pliniennes – magma andésitique: quelle est la masse totale des dépôts de retombées de cendres associés à ce typologie d'éruption?,Eruzioni Pliniane – magma andesitico: qual è la massa totale dei depositi di ricaduta cenere associati a questa tipologia di eruzioni?,kg,log,0,inf,,target,0,0,0,-1,
38,38,"Plinian andesitic, average plume height",Plinian eruptions – andesitic magma: what is the average plume height of this kind of eruption?,Éruptions Pliniennes – magma andésitique: quelle est la hauteur moyenne du panache de ce typologie d'éruption?,Eruzioni Pliniane – magma andesitico: qual è l’altezza media del plume di questa tipologia di eruzioni?,m,log,0,inf,,target,0,0,0,-1,
